period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-35.0949461204717,-165.457581221274,-144.506443437216,74.3165511962727,95.2676889803301,0
3,-20.3831153736522,-165.377406942694,-142.074752940527,101.308522193222,124.61117619539,0
4,10.4618717274212,-137.004812089147,-113.304809332912,134.228552787755,157.928555543989,0
5,-30.5920424327408,-169.816127520115,-147.440828131073,86.2567432655913,108.632042654634,0
6,3.45690101420695,-155.50026129453,-129.953574494911,136.867376523325,162.414063322944,0
7,26.7259665508024,-151.335750862132,-122.718689135053,176.170622236658,204.787683963737,0
8,-10.8701067932341,-177.959408225781,-151.10577049555,129.365556909082,156.219194639313,0
9,-38.0549743671729,-196.025468666353,-170.637353511127,94.5274047767815,119.915519932007,0
