period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,25.5591974249994,-76.8548085646857,-60.3954147449149,111.513809594914,127.973203414684,0
3,73.6029124677296,-23.1146288284612,-7.57073826300193,154.776563198461,170.32045376392,0
4,126.025630999352,21.2564490653928,38.0943533047792,213.956908693926,230.794812933312,0
5,86.4555664927361,-13.5616883538856,2.51251331789287,170.398619667579,186.472821339358,0
6,102.783795151701,-11.8952897711766,6.53527744857158,199.03231285483,217.462880074579,0
7,147.578244093787,46.6701207094539,62.887497681936,232.268990505638,248.48636747812,0
8,87.543863032862,-10.792604505317,5.0114706347475,170.076255430976,185.880330571041,0
9,7.26819150625826,-116.172300279321,-96.3336498137817,110.870032826298,130.708683291838,0
