period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,27.7343763794539,-36.6602735916091,-26.3111334176883,81.7798861765961,92.129026350517,0
3,66.1851197635836,4.18950530066724,14.1530861964931,118.217153330674,128.1807342265,0
4,82.7673575033269,21.4377602779493,31.2943026891707,134.240412317483,144.096954728705,0
5,71.2895288833221,12.0300746672441,21.5539155233995,121.025142243245,130.5489830994,0
6,92.642723335534,25.9485044193053,36.6672181736992,148.618228497369,159.336942251763,0
7,80.7637647588892,14.6396658508115,25.266753175324,136.260776342454,146.887863666967,0
8,70.8668745613414,4.18686717001157,14.9032969293324,126.83045219335,137.546881952671,0
9,24.013997957424,-48.2764910034886,-36.6583767061991,84.6863726210471,96.3044869183366,0
