period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,42.9637837887067,-18.7041544101153,-8.79323577101891,94.7208033484324,104.631721987529,0
3,74.2201556387501,9.84507785181263,20.1910724961419,128.249238781358,138.595233425688,0
4,95.2456167054563,26.3570770663501,37.4284495083493,153.062783902563,164.134156344563,0
5,97.2577524436227,27.0001078649811,38.2915150294057,156.22398985784,167.515397022264,0
6,107.800221924238,29.9675337305435,42.4763586188159,173.124085229661,185.632910117933,0
7,117.082515495284,36.7771185648671,49.6833430715413,184.481687919027,197.387912425701,0
8,89.3594744476971,17.1502331840705,28.7552898157247,149.96365907967,161.568715711324,0
9,66.2828523668347,-6.18488740304257,5.46171363140198,127.103991102267,138.750592136712,0
