period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,12.8694085336504,-32.5398984962559,-25.2419741521638,50.9807912194646,58.2787155635567,0
3,5.20715325444882,-47.3787282837645,-38.9274258936945,49.3417324025921,57.7930347926621,0
4,55.9284308521391,-7.22001665849803,2.92884097714008,108.928020727138,119.076878362776,0
5,45.4270687226512,-19.0311995144052,-8.67183497630686,99.5259724216093,109.885336959708,0
6,53.4120993508688,-8.69220282396615,1.28884573984661,105.535352961891,115.516401525704,0
7,58.062212940733,-9.28721338338763,1.53680156156033,114.587624319906,125.411639264854,0
8,40.2391653754421,-20.7635453466266,-10.9595382662942,91.4378690171783,101.241876097511,0
9,-16.0482276104491,-81.0493586606449,-70.602748313292,38.5062930923938,48.9529034397467,0
