period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,6.24389958229493,-43.0203481503309,-35.1028797647304,47.5906789293202,55.5081473149208,0
3,-9.62492044002694,-62.7909328733535,-54.2463951608546,34.9965542808007,43.5410919932996,0
4,31.6370520256518,-22.6335566827664,-13.9114945689135,77.1855986202171,85.9076607340701,0
5,-30.2146213907542,-91.6240405118793,-81.7546695816985,21.32542680019,31.1947977303708,0
6,9.10708800599175,-46.4899247414047,-37.5546905498589,55.7688665618424,64.7041007533882,0
7,5.34162552416926,-52.9418979689373,-43.5749031218309,54.2581541701694,63.6251490172759,0
8,16.7094662152631,-36.8125427734995,-28.2107913288769,61.6297237594031,70.2314752040256,0
9,-20.9386354151567,-79.1509451191169,-69.7953953452661,27.9181245149528,37.2736742888035,0
