period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,20.6445566046251,-40.6111997492818,-30.7665246209753,72.0556378302256,81.900312958532,0
3,15.0905249996113,-45.4798237445515,-35.7453034106682,65.9263534098908,75.6608737437741,0
4,15.3730088240094,-39.3788802717863,-30.5794695242477,61.3254871722666,70.1248979198052,0
5,-17.968635423982,-76.7346603244534,-67.2901206083062,31.3528497603422,40.7973894764894,0
6,10.6820920161835,-40.2743304421119,-32.0849054041716,53.4490894365386,61.6385144744789,0
7,18.0497297152974,-27.7554740460496,-20.3939234415474,56.4933828721422,63.8549334766444,0
8,44.406235361886,-19.7848172527568,-9.46839808254631,98.2808688063184,108.597287976529,0
9,-3.44373241250243,-60.2071943831859,-51.0844951378975,44.1970303128926,53.319729558181,0
