period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,11.5373021594799,-33.0843479005626,-25.91301128377,48.9876156027299,56.1589522195225,0
3,2.76454974421286,-41.6388769731841,-34.502611965031,40.0317114534567,47.1679764616098,0
4,5.97171676346871,-34.7943688865059,-28.2426765499028,40.1861100768402,46.7378024134433,0
5,-18.0217712065532,-64.2283268648077,-56.802273276874,20.7587308637676,28.1847844517014,0
6,3.67119382659807,-36.9301674310098,-30.4049486574657,37.7473363106619,44.272555084206,0
7,6.74945020706958,-30.2847772173232,-24.3328478098315,37.8317482239706,43.7836776314623,0
8,22.3611838992218,-23.2734988161713,-15.9393533797688,60.6617211782125,67.995866614615,0
9,-22.7151006841992,-68.7867891079444,-61.3824106112711,15.9522092428726,23.3565877395459,0
