period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.129565906233984,-0.433567205535054,-0.384709853861668,0.1255780413937,0.174435393067087,0
3,-0.121758156423702,-0.456403664786897,-0.402621350942812,0.159105038095408,0.212887351939493,0
4,-0.11504410736072,-0.38417875265652,-0.340924970376838,0.110836755655398,0.15409053793508,0
5,-0.126071506002213,-0.426274671558449,-0.378027734236911,0.125884722232486,0.174131659554024,0
6,0.0734365983278865,-0.218964463446807,-0.171971435661589,0.318844632317362,0.36583766010258,0
7,0.0490907835968824,-0.228507420228439,-0.183893423185084,0.282074990378849,0.326688987422204,0
8,-0.0598525933210767,-0.344580813978777,-0.298820921373075,0.179115734730922,0.224875627336624,0
9,-0.15097441383739,-0.493441974736231,-0.43840254530606,0.13645371763128,0.191493147061451,0
