period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,15.5606520390775,-326.330807778046,-271.383966021723,302.505270099878,357.452111856201,0
3,159.285615796777,-209.39968909,-150.146693661768,468.717925255322,527.970920683554,0
4,248.470420782627,-65.4928520698689,-15.0344689328606,511.975310498114,562.433693635122,0
5,376.088915216322,17.9211495788673,75.4838261991725,676.694004233471,734.256680853777,0
6,288.93744963688,-60.7008577467994,-4.50898691727946,582.38388619104,638.57575702056,0
7,-221.056549969381,-646.124667056458,-577.810148238892,135.69704830013,204.011567117696,0
8,70.0228494152506,-277.398961322008,-221.563313167805,361.609011998307,417.444660152509,0
9,410.674452780275,-3.88538762805138,62.740301009001,758.608604551549,825.234293188601,0
