period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,6.00073398775534e-05,-0.000731977166351728,-0.000604693942136308,0.000724708621891415,0.000851991846106835,0
3,0.000267661129618388,-0.000555215216943359,-0.000422967232674507,0.000958289491911284,0.00109053747618014,0
4,-0.000307446342677976,-0.00101447072665082,-0.000900841807798038,0.000285949122442085,0.000399578041294863,0
5,0.000225666224188589,-0.000505958618070008,-0.000388376054135591,0.000839708502512768,0.000957291066447186,0
6,0.000163634400672672,-0.000571393155663928,-0.000453263726966974,0.000780532528312319,0.000898661957009272,0
7,0.000291792084308454,-0.000605175325358525,-0.000461019848804903,0.00104460401742181,0.00118875949397543,0
8,0.000539254853948827,-0.000336287989404402,-0.000195575746722633,0.00127408545462029,0.00141479769730206,0
9,0.000234158455679428,-0.000697740794666846,-0.000547971272289766,0.00101628818364862,0.0011660577060257,0
