period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-15.4766775111252,-68.7188312300852,-60.1620565252524,29.2087015030019,37.7654762078348,0
3,-3.6893457913944,-62.575006575874,-53.1112396640827,45.7325480812939,55.1963149930853,0
4,-6.04503008382409,-58.2143925256798,-49.8300307046673,37.7399705370191,46.1243323580316,0
5,-36.8523710908511,-89.7670525109757,-81.2629072827414,7.5581651010392,16.0623103292735,0
6,-4.12441456744464,-59.6713423609319,-50.7441575369786,42.4953284020893,51.4225132260426,0
7,10.3444807014967,-38.5490241206138,-30.6911394170603,51.3801008200538,59.2379855236072,0
8,3.26575701789199,-55.5444067927506,-46.092773323183,52.624287358967,62.0759208285345,0
9,-43.7951578888218,-111.855518596643,-100.917246340029,13.3269305623854,24.2652028189995,0
