period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.125554755601143,-0.423870063653511,-0.375926532002237,0.124817020799952,0.172760552451225,0
3,-0.153198665451845,-0.463060699282887,-0.413261443845755,0.106864112942065,0.156663368379197,0
4,-0.0205538686340194,-0.294606775809495,-0.250562558584865,0.209454821316826,0.253499038541456,0
5,-0.0782007880991976,-0.388739506056791,-0.338831497813606,0.182429921615211,0.232337929858396,0
6,-0.249733127199346,-0.57255820690211,-0.520675604807023,0.0212093504083301,0.0730919525034171,0
7,-0.162896670923432,-0.505862735836252,-0.450743189689548,0.124949847842684,0.180069393989388,0
8,-0.137953582436367,-0.424548392765469,-0.378488512534006,0.102581347661272,0.148641227892735,0
9,-0.379055577473438,-0.79051865661288,-0.724390661751184,-0.0337204931956913,0.0324075016660048,0
