period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.0898710190140641,-0.712440428773165,-0.612384630776167,0.432642592748039,0.532698390745037,0
3,-0.779250518896806,-1.4435994169492,-1.33682905833364,-0.221671979459972,-0.114901620844409,0
4,-0.32364393407544,-0.986297529157384,-0.879799629947786,0.232511761796906,0.339009661006504,0
5,-0.599688748055415,-1.34363331886248,-1.2240707985542,0.0246933024433716,0.14425582275165,0
6,-0.0594251712151836,-0.717836352648155,-0.612020269917856,0.493169927487489,0.598986010217788,0
7,-0.355560249589416,-1.08457782622843,-0.967414287125732,0.2562937879469,0.373457327049598,0
8,-0.636482486761386,-1.28592079747147,-1.1815467832502,-0.0914181902725691,0.0129558239486937,0
9,-0.449609928713637,-1.22176787650931,-1.09767106347072,0.198451206043448,0.322548019082038,0
