period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,19.3848394014954,-57.4315974634488,-45.0860986815827,83.8557774845736,96.2012762664396,0
3,64.4047377856831,-10.4815118601392,1.55377826151086,127.255697309855,139.290987431505,0
4,75.3222811491419,-0.663918234345402,11.5481495237151,139.096412774569,151.308480532629,0
5,74.3235229903529,1.16010546325329,12.9185118515372,135.728534129169,147.486940517453,0
6,90.3437652612688,16.0052763155085,27.9525334675057,152.734997055032,164.682254207029,0
7,73.2067298712752,-7.0585293879647,5.841244421556,140.572215320994,153.471989130515,0
8,70.9280897882797,-9.5192417928502,3.40979363983141,138.446385936728,151.37542136941,0
9,0.0667487264470669,-86.0900856204867,-72.2434515290152,72.3769489819094,86.2235830733809,0
