period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.136745098860415,-3.83347129439223,-3.23935458439604,2.96586438667521,3.5599810966714,0
3,-1.25024300846286,-6.0487515837992,-5.27756270562014,2.77707668869443,3.54826556687349,0
4,-2.47462845928244,-8.03136854951803,-7.13832103501588,2.18906411645101,3.08211163095316,0
5,-3.30913136297452,-9.485334479247,-8.49273040698892,1.87446768103987,2.86707175329795,0
6,-3.90860549057549,-10.6563399177821,-9.57188259912389,1.75467161797292,2.83912893663113,0
7,-3.98101816616067,-11.4965428171135,-10.2886906410675,2.3266543087462,3.5345064847922,0
8,-3.48872986829042,-11.5229442494669,-10.2317312239206,3.25427148733981,4.54548451288602,0
9,-2.00188000990519,-11.2507459704481,-9.76432108393224,5.76056106412186,7.24698595063768,0
