period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-1.58293292038539,-15.3972704257412,-13.1771090409519,10.0112432001811,12.2314045849705,0
3,1.21057950447754,-16.108132845191,-13.3247683604229,15.7459273693779,18.5292918541461,0
4,4.6105924653843,-15.265734461824,-12.0713247770941,21.2925097078627,24.4869193925926,0
5,7.4094682967171,-14.5779892521288,-11.0442907174929,25.8632273109271,29.396925845563,0
6,8.57732060906967,-14.2846273099284,-10.6103856800894,27.7650268982287,31.4392685280677,0
7,6.62996220453837,-16.5584404322849,-12.8317328656526,26.0916572747294,29.8183648413617,0
8,4.88255701212164,-17.1812329210642,-13.6352666818022,23.4003807060455,26.9463469453075,0
9,-3.38562019511813,-28.2989102914323,-24.2949886688104,17.5237482785741,21.527669901196,0
