period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,0.000591390402991218,-0.000742365672049601,-0.000528012017132326,0.00171079282311476,0.00192514647803204,0
3,0.000124923851091914,-0.00125678263217907,-0.00103472266165338,0.00128457036383721,0.0015066303343629,0
4,0.000315818127678215,-0.00105501307935224,-0.000834700921079486,0.00146633717643592,0.00168664933470867,0
5,0.00127175249300754,0.000149801747412638,0.000330115260097533,0.00221338972591755,0.00239370323860244,0
6,0.000243273532686919,-0.00116134376669608,-0.000935601700723813,0.00142214876609765,0.00164789083206992,0
7,0.000650760402675235,-0.000778548402370152,-0.000548838058702144,0.00185035886405261,0.00208006920772062,0
8,0.000156557592250206,-0.00129603598260568,-0.00106258344378955,0.00137569862828996,0.00160915116710609,0
9,0.000602759624554346,-0.000909373816874769,-0.000666352370930804,0.0018718716200395,0.00211489306598346,0
