period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,12.5619099744757,-80.7520904254979,-65.7551975040736,90.879017453025,105.875910374449,0
3,69.0618559248448,-15.0585772228655,-1.53922189555487,139.662933745244,153.182289072555,0
4,87.2535928041844,-1.20488603639441,13.0116552058415,161.495530402527,175.712071644763,0
5,63.5243950689281,-19.9133333372221,-6.50369841480507,133.552488552661,146.962123475078,0
6,70.1003301476732,-15.8790037612774,-2.06089652591031,142.261556821257,156.079664056624,0
7,81.7593026771479,-11.0247364405054,3.88698413197457,159.631621222321,174.543341794801,0
8,78.5570743806375,-21.5090237679795,-5.42697227980888,162.541121041084,178.623172529255,0
9,9.303744689276,-97.8440797700947,-80.6238936962673,99.2313830748193,116.451569148647,0
