period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,30.3650766610278,-47.706152084652,-35.1589903219534,95.889143644009,108.436305406708,0
3,89.8103648078987,13.5606235100448,25.8150462186284,153.805683397169,166.060106105753,0
4,105.369893408566,20.6307139945941,34.2495106861252,176.490276131006,190.109072822537,0
5,79.4897058423508,0.68108293249658,13.3467544715803,145.632657213121,158.298328752205,0
6,90.6572529979028,11.0509634238407,23.8448313911007,157.469674604705,170.263542571965,0
7,88.1223964415392,6.05142888725393,19.2414058156212,157.003387067457,170.193363995824,0
8,90.0179440036381,4.78828419822972,18.4859080955275,161.549979911749,175.247603809047,0
9,16.3080847835764,-73.1933164818196,-58.8091627070238,91.4253322741765,105.809486048972,0
