period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-24.340849249064,-103.992666979862,-91.1914819874127,42.5097834892847,55.3109684817344,0
3,-19.8788356005743,-120.376565011673,-104.22514421346,64.4674730123118,80.618893810524,0
4,17.6744939624139,-74.441492121181,-59.637137214889,94.9861251397167,109.790480046009,0
5,61.691736270338,-34.4962852772785,-19.037496099983,142.420968640659,157.879757817954,0
6,64.6368023824678,-39.4646856280368,-22.7340893406343,152.00769410557,168.738290392972,0
7,7.85582966441614,-94.0430514554867,-77.6664455612166,93.3781048900489,109.754710784319,0
8,32.3181306232205,-49.019403966334,-35.9473001930128,100.583561439454,113.655665212775,0
9,14.5676313984582,-72.9745376101878,-58.9052604480839,88.0405232450004,102.109800407104,0
