period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,0.000832023569899664,-0.000552950917911114,-0.000330365732370096,0.00199441287216942,0.00221699805771044,0
3,0.000927719375603225,-0.000254369360585227,-6.43908136977969e-05,0.00191982956490425,0.00210980811179168,0
4,0.000847065341167891,-0.000286510336893328,-0.000104328531490632,0.00179845921382641,0.00198064101922911,0
5,0.000529165269805606,-0.000595919856053586,-0.000415102603683359,0.00147343314329457,0.0016542503956648,0
6,0.00106615156449128,-0.000244604023270922,-3.39468752377108e-05,0.00216625000422027,0.00237690715225348,0
7,-0.000479593544901116,-0.00194127229866387,-0.00170635964180914,0.000747172552006906,0.000982085208861634,0
8,-0.000275576517067356,-0.00163822575116147,-0.00141922855282492,0.000868075518690203,0.00108707271702676,0
9,1.04625544281839e-05,-0.00149932141253319,-0.00125667756070011,0.00127760266955648,0.00152024652138956,0
