period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.000300110062715265,-0.00138050878158873,-0.00120687327319835,0.000606653147767824,0.000780288656158203,0
3,0.000748707476007933,-0.000360755966585701,-0.000182449341883153,0.00167986429389902,0.00185817091860157,0
4,-0.000783680405807929,-0.00190378310639526,-0.00172376660094372,0.000156405789327867,0.000336422294779402,0
5,0.000360057855189854,-0.000776372967517166,-0.000593732299582109,0.00131384800996182,0.00149648867789687,0
6,0.00086689242903793,-0.000293662753309402,-0.000107144956146438,0.0018409298142223,0.00202744761138526,0
7,0.000115420558798658,-0.000867172873975185,-0.000709256072279389,0.000940097189876704,0.0010980139915725,0
8,-0.000255048819442893,-0.00127819624551076,-0.00111376183774985,0.000603664198864067,0.000768098606624974,0
9,-0.000348033946971104,-0.00143924530805497,-0.00126387205359506,0.000567804159652851,0.000743177414112757,0
