period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-10.1958364422445,-22.069438713597,-20.1611812057011,-0.230491678787942,1.67776582910799,0
3,-11.6718467714921,-28.7810718264226,-26.0313749425945,2.6876813996104,5.43737828343852,0
4,-10.4075569691481,-31.4353984471341,-28.0559239238864,7.24080998559018,10.6202845088379,0
5,-9.03784844072422,-32.9004295157511,-29.065371842979,10.9896749615305,14.8247326343027,0
6,-7.32215142295477,-33.2953874535365,-29.121117377193,14.4768145312835,18.651084607627,0
7,-5.52923139976856,-33.9289767193581,-29.3647319358527,18.3062691363155,22.870513919821,0
8,-5.93226402446213,-35.0899495881975,-30.40389297974,18.5393649308157,23.2254215392732,0
9,-4.30908454713456,-35.7799385180853,-30.7221227013253,22.1039536070562,27.1617694238161,0
