period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-57.059338617521,-130.33518749725,-118.558711784436,4.44003454939417,16.2165102622077,0
3,-41.8069716651789,-116.645872035147,-104.618191618545,21.0042482881873,33.0319287047894,0
4,-26.9063891639041,-102.233657030341,-90.1274889803777,36.3147106525695,48.4208787025326,0
5,-38.4286832615917,-123.187690184927,-109.565706929391,32.7083404062078,46.3303236617439,0
6,-29.5542679387563,-112.967443071118,-99.5617542105598,40.4532183330472,53.8589071936054,0
7,-16.1480444152509,-89.9794851892225,-78.1137179219771,45.8176290914753,57.6833963587208,0
8,-40.9648717904674,-127.724747514146,-113.781196058555,31.8514524776203,45.7950039332115,0
9,-91.330713606685,-182.545286137522,-167.885801266495,-14.7756259468751,-0.116141075847636,0
