period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,108.053127004275,-58.6355633865124,-31.8463095737073,247.952563582258,274.741817395063,0
3,136.343704958324,-80.9200518627238,-46.0026623736269,318.690072290274,353.607461779371,0
4,230.746110492254,-34.1736021744951,8.40278021837531,453.089440766133,495.665823159003,0
5,43.000755221663,-211.984317707428,-171.004573843824,257.00608428715,297.985828150754,0
6,105.669647790035,-131.459583696402,-93.3495286360817,304.688824216151,342.798879276471,0
7,100.330218408224,-128.036128723374,-91.3343943629382,291.994831179387,328.696565539822,0
8,135.44211493734,-63.6714038682865,-31.6710169173821,302.555246792063,334.555633742967,0
9,114.819764799611,-113.162132682722,-76.522184873061,306.161714472283,342.801662281944,0
