period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-27.3160074396004,-111.097240672932,-97.6323996175754,43.0003847383745,56.4652257937315,0
3,-31.9721409638973,-109.316841741776,-96.8864434024738,32.9421614746791,45.372559813981,0
4,-34.1806794905633,-102.50712492573,-91.5260890522214,23.1647300710948,34.1457659446038,0
5,-25.8546037307455,-107.432493845579,-94.3217615056954,42.6125540442045,55.7232863840885,0
6,-38.3090308443599,-111.626128537331,-99.8430235509604,23.2249618622405,35.0080668486108,0
7,-24.672303383333,-109.978311111956,-96.2684170127127,46.9238102460466,60.6337043452896,0
8,-15.0456673873426,-87.0751908748579,-75.4990174572215,45.4076826825363,56.9838561001727,0
9,-89.5571667528297,-190.156805338494,-173.989006280084,-5.12532722557587,11.0424718328344,0
