period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,0.000892064641878741,-0.000589069478294299,-0.000351030066123632,0.00213515934988111,0.00237319876205178,0
3,0.00119539309842595,-7.65661706784418e-05,0.000127855854713336,0.00226293034213857,0.00246735236753035,0
4,0.000539604078639646,-0.00074618659279368,-0.000539541663456181,0.00161874982073547,0.00182539475007297,0
5,0.000754840170929606,-0.000617249017652732,-0.000396734683773428,0.00190641502563264,0.00212692935951195,0
6,0.00122979780266815,-8.62017354816185e-05,0.000125298190292451,0.00233429741504385,0.00254579734081792,0
7,-0.000187817550427229,-0.00172087167185906,-0.0014744879737718,0.00109885287291734,0.0013452365710046,0
8,0.000263699213867709,-0.00117429499196863,-0.000943188780316357,0.00147058720805177,0.00170169341970404,0
9,0.0002446301474271,-0.00148460842762868,-0.001206695085209,0.00169595538006321,0.00197386872248288,0
