period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.207427474187005,-0.66956251087174,-0.595290808547408,0.180435860173399,0.254707562497731,0
3,0.120100203106495,-0.367300823451044,-0.288968515611439,0.529168921824429,0.607501229664033,0
4,-0.110239209829013,-0.614560119452231,-0.533508544691357,0.313030125033331,0.394081699794205,0
5,0.0389778693874252,-0.375185398454211,-0.308623444693948,0.386579183468799,0.453141137229062,0
6,0.14561667790616,-0.308207446462661,-0.235271426474815,0.526504782287134,0.59944080227498,0
7,-0.0587551618546433,-0.522032643647764,-0.44757733407387,0.330067010364583,0.404522319938477,0
8,-0.0409927854032989,-0.450179404068019,-0.384417268925475,0.302431698118877,0.368193833261422,0
9,-0.134448106970598,-0.693611471430481,-0.603745930713714,0.334849716772518,0.424715257489285,0
