period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,0.243808649260778,-0.0518170307692385,-0.00430576076441436,0.491923059285971,0.539434329290795,0
3,0.101823812791356,-0.213706178943694,-0.162996001700561,0.366643627283272,0.417353804526405,0
4,0.206948653212634,-0.0839160774146713,-0.0371699599924258,0.451067266417694,0.49781338383994,0
5,0.0594657799435555,-0.228509336635802,-0.182227621471262,0.301159181358373,0.347440896522913,0
6,0.29386740992722,-0.0139471802722237,0.0355230217241154,0.552211798130325,0.601682000126664,0
7,0.137292790823929,-0.165009653000886,-0.116425331671898,0.391010913319756,0.439595234648744,0
8,0.239936416400607,-0.0279284921537601,0.0151212252924775,0.464751607508737,0.507801324954975,0
9,0.462548982985489,0.0743251264385903,0.13671824624077,0.788379719730208,0.850772839532388,0
