period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.0192249414844437,-0.163023586621982,-0.13991309008202,0.101463207113133,0.124573703653094,0
3,-0.0190584662175238,-0.172077784522895,-0.147485394080961,0.109368461645913,0.133960852087848,0
4,-0.0130419476594593,-0.159622341243368,-0.136064777988811,0.109980882669893,0.133538445924449,0
5,-0.0430816173834677,-0.187905379426841,-0.164630131955585,0.0784668971886493,0.101742144659906,0
6,-0.0217884357884523,-0.155644246537192,-0.134131705524002,0.0905548339470971,0.112067374960287,0
7,-0.0517226105225912,-0.207272791291232,-0.182273655096272,0.0788284340510895,0.10382757024605,0
8,0.0392709013097854,-0.104755891666558,-0.0816087285096456,0.160150531129216,0.183297694286129,0
9,-0.0198039278013953,-0.17425742029368,-0.149434537571705,0.109826681968915,0.134649564690889,0
