period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-0.0612940423162618,-0.411749618088458,-0.355426400553641,0.232838315921117,0.289161533455935,0
3,0.0270112293060697,-0.276592038490075,-0.227798656165694,0.281821114777834,0.330614497102214,0
4,-0.147649749335798,-0.480030319837823,-0.426612013864283,0.131312515192686,0.184730821166226,0
5,-0.0360028024795703,-0.358117776856563,-0.306349298831689,0.234343693872549,0.286112171897423,0
6,-0.019223670393618,-0.294371823059023,-0.250151584237797,0.211704243450561,0.255924482271787,0
7,0.0130186658755237,-0.317949718890681,-0.264758371338969,0.290795703090017,0.343987050641728,0
8,0.128022579997771,-0.132990687184462,-0.0910421263873171,0.347087286382859,0.389035847180003,0
9,-0.232380059088783,-0.5908586556522,-0.533246024061651,0.0684859058840847,0.126098537474634,0
