period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,0.505545808795017,0.0634037651973043,0.134462307918365,0.876629309671668,0.947687852392729,0
3,0.148700589145718,-0.268164570358209,-0.201168384009364,0.498569562300799,0.565565748649644,0
4,0.239048244232201,-0.202116201059928,-0.131214772352264,0.609311260816666,0.680212689524329,0
5,0.169044962231477,-0.188315797618765,-0.130882818357119,0.468972742820074,0.52640572208172,0
6,0.120147711973994,-0.286712666139332,-0.221324391085404,0.461619815033392,0.527008090087319,0
7,0.00236335328056225,-0.345129830985748,-0.289282712085805,0.29400941864693,0.349856537546872,0
8,0.336641625713902,-0.120528487006893,-0.0470547188910514,0.720337970318854,0.793811738434697,0
9,0.121048810577194,-0.302204591389875,-0.234181723216596,0.476279344370985,0.544302212544264,0
