period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,13.3801667898239,-35.0545310961264,-27.2703832215987,54.0307168012464,61.8148646757741,0
3,23.1930594933379,-26.422844414247,-18.4488598576709,64.8349788443466,72.8089634009228,0
4,21.1047337859858,-27.0993351553522,-19.3522526469228,61.5617202188945,69.3088027273239,0
5,22.0128972919515,-27.2644495075726,-19.3448759147919,63.3706704986949,71.2902440914755,0
6,43.5728748391351,-6.1897137925526,1.80784509468292,85.3379045835872,93.3354634708227,0
7,38.791726973492,-8.85389373961905,-1.19656183929763,78.7800157862817,86.4373476866031,0
8,24.9941220307372,-19.3930076024139,-12.2593617685146,62.247605829989,69.3812516638883,0
9,-8.46090487953111,-62.0393045775392,-53.4284903403594,36.5066805812972,45.117494818477,0
