period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,57.040300383485,-70.9636024567679,-50.3915466431558,164.472147410126,185.044203223738,0
3,76.3153787246303,-62.5864957344874,-40.2629801964149,192.893737645676,215.217253183748,0
4,85.0288452648406,-54.6005567140562,-32.1601171103049,202.217807639986,224.658247243737,0
5,161.1362891419,27.0028113587452,48.5599774310379,273.712600852761,295.269766925054,0
6,160.517172503829,16.3241505567283,39.498029083941,281.536315923718,304.71019445093,0
7,39.9576413604514,-108.856586442796,-84.9400141172739,164.855296838177,188.771869163699,0
8,87.4708879703126,-47.8416371632702,-26.0949813382301,201.036757278855,222.783413103895,0
9,83.4471946855612,-51.6020032003459,-29.8976678258252,196.792057196947,218.496392571468,0
