period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,-27.2682543022597,-194.548393569795,-167.664085473227,113.127576868707,140.011884965276,0
3,-17.1943288872632,-195.874610897734,-167.158137003194,132.769479228668,161.485953123208,0
4,-18.6286285585506,-187.630881651337,-160.469805261425,123.212548144324,150.373624534236,0
5,-54.4070511749586,-218.059458371726,-191.758178643674,82.9440762937569,109.245356021809,0
6,-28.643020665862,-187.276839226048,-161.782118386018,104.496077054294,129.990797894324,0
7,-54.3235740007847,-233.760221231876,-204.922188641165,96.2750406395959,125.113073230307,0
8,48.1227992655065,-122.214882378795,-94.839183543104,191.084782074117,218.460480909808,0
9,-33.4026500294695,-217.923380895004,-188.268263434472,121.462963375533,151.118080836065,0
