period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,73.4774916987839,-48.9287474905965,-29.2563161923032,176.211299589871,195.883730888164,0
3,143.554839475106,10.1203051900182,31.5651410572644,255.544537892947,276.989373760194,0
4,121.321122468588,-0.972741818427409,18.6816292277001,223.960615709476,243.614986755604,0
5,138.642723368612,12.0883396354715,32.4274370211548,244.85800971607,265.197107101753,0
6,177.142871948446,30.3083224004476,53.906732149233,300.379011747658,323.977421496444,0
7,118.249517057388,-13.8228517329765,7.40306467976058,229.095969435015,250.321885847752,0
8,122.298259787098,-11.5478643475253,9.96311988839633,234.6333996858,256.144383921722,0
9,15.3751899629412,-113.13384266657,-92.4806052796844,123.230985205567,143.884222592452,0
