period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,0.048452875617807,-0.13414352662349,-0.104797676263282,0.201703427498896,0.231049277859104,0
3,0.0336700450757011,-0.176818170924927,-0.142989707639112,0.210329797790514,0.24415826107633,0
4,0.0210958566033127,-0.141704307817316,-0.115539995678286,0.157731708884911,0.183896021023941,0
5,-0.0521645104590355,-0.237024604175994,-0.207314946257197,0.102985925339126,0.132695583257923,0
6,-0.00746497045164649,-0.183286186741149,-0.155029205551764,0.140099264648471,0.168356245837856,0
7,0.0290411112085715,-0.1603419098762,-0.129905352916147,0.18798757533329,0.218424132293343,0
8,0.0411108911564042,-0.147323826834282,-0.117039675728636,0.199261458041444,0.22954560914709,0
9,-0.0595275202608796,-0.272599498745751,-0.238355787917825,0.119300747396066,0.153544458223991,0
