period,ir,ci5,ci10,ci90,ci95,zero
1,0,0,0,0,0,0
2,54.2370758090987,-51.6780442879591,-34.6559714152177,143.130123033415,160.152195906157,0
3,71.2477008255154,-31.9518365949877,-15.3661966524068,157.861598303438,174.447238246018,0
4,46.2181151678414,-55.9119676086916,-39.4982043053202,131.934434641003,148.348197944374,0
5,37.2396408567833,-62.4983621644674,-46.4690402503378,120.948321963904,136.977643878034,0
6,78.0501970650765,-31.6961372667333,-14.0583335348353,170.158727664988,187.796531396886,0
7,88.7647187904113,-25.135080218742,-6.82975537798525,184.359192958808,202.664517799565,0
8,50.2814768160757,-56.6570425274016,-39.4704947757713,140.033448407923,157.219996159553,0
9,3.05022250576978,-117.652104181482,-98.2535159638876,104.353960975427,123.752549193021,0
